"latitude","longitude","Franquia","picture"
"-1.3522414000000000000000000","-48.3925852000000000000000000","Guajará","MIDIA/UNIDADE/0c947837.photo.231744.png"
"-1.4283400000000000000000000","-48.4611373000000000000000000","Duque de Caxias","MIDIA/UNIDADE/1.photo.231809.png"
"-1.4466550000000000000000000","-48.4693421000000000000000000","Guama","MIDIA/UNIDADE/10.photo.231837.png"
"-1.3629331000000000000000000","-48.2434500000000000000000000","Benevides","MIDIA/UNIDADE/11.photo.231909.png"
"-3.8893342000000000000000000","-38.4521123000000000000000000","Eusébio","MIDIA/UNIDADE/117d7c6e.photo.231938.png"
"-1.3522121000000000000000000","-48.3926163000000000000000000","Icui","MIDIA/UNIDADE/12.photo.011743.png"
"-1.7186347000000000000000000","-48.8850683999999900000000000","Abaetetuba","MIDIA/UNIDADE/13.photo.232114.png"
"-1.4057604000000000000000000","-48.4337295000000000000000000","Matriz-CD","branches/circle-512.png"
"-1.3440451000000000000000000","-48.4209128000000000000000000","40 Horas",""
"-1.3815194000000000000000000","-48.4385465000000000000000000","Augusto Montenegro","MIDIA/UNIDADE/3.photo.232220.png"
"-1.2941424000000000000000000","-48.1636592000000000000000000","Santa Izabel","MIDIA/UNIDADE/3c915ffb.photo.232244.png"
"-1.4083083000000000000000000","-48.4532350000000000000000000","Marambaia","MIDIA/UNIDADE/4.photo.232307.png"
"-1.3006118000000000000000000","-48.4872993000000000000000000","Icoaraci","MIDIA/UNIDADE/5.photo.232347.png"
"-1.2966254000000000000000000","-47.9204774000000000000000000","Castanhal","MIDIA/UNIDADE/6.photo.232408.png"
"-1.3655913000000000000000000","-48.3386882000000000000000000","Marituba","MIDIA/UNIDADE/6e2eaa44.photo.232516.png"
"-0.6237130000000000000000000","-47.3481386000000000000000000","Salinas","MIDIA/UNIDADE/7.photo.232537.png"
"-1.6847036000000000000000000","-50.4821837000000000000000000","Breves","MIDIA/UNIDADE/8.photo.232556.png"
"-1.4738219000000000000000000","-48.4810297000000000000000000","Jurunas","MIDIA/UNIDADE/9.photo.232616.png"
"-1.4418591000000000000000000","-48.4885174000000000000000000","Umarizal","MIDIA/UNIDADE/94db03e2.photo.232636.png"
"-3.7347253000000000000000000","-38.4938189999999900000000000","Fortaleza Aldeota","MIDIA/UNIDADE/b6400f79.photo.153356.jpg"
"-1.5039075000000000000000000","-48.6239126000000000000000000","Barcarena",""
"-1.1921880568730274","-47.17469215671107","Capanema",""
"-1.3461530000000000000000000","-48.4515916000000000000000000","Tapanã","MIDIA/UNIDADE/sem.png"
"-1.3746049000000000000000000","-48.4122595000000000000000000","Cidade Nova",""
"-1.4547136000000000000000000","-48.4752036000000000000000000","São Brás","MIDIA/UNIDADE/d4c2929f.photo.204700.jpg"
"-1.4057604000000000000000000","-48.4337295000000000000000000","Centro de Distribuição",""
"-1.4057604000000000000000000","-48.4337295000000000000000000","Belém",""
"-2.5082583000000000000000000","-44.3016082000000000000000000","São Luís","MIDIA/UNIDADE/s870498d.photo.232755.png"
"-1.3552020000000000000000000","-48.4300384999999900000000000","Centro Operacional - PARÁ",""
"-1.4601455000000000000000000","-48.4928426000000000000000000","Batista Campos",""
"-3.7478580000000000000000000","-38.5252550000000100000000000","Fortaleza Fátima",""
"0.0397468000000000000000000","-51.0545395000000000000000000","Macapá",""
"-3.7373581000000000000000000","-38.4828041000000000000000000","Fortaleza Papicu",""
"-1.4117790000000000000000000","-48.4705096000000000000000000","Pedro Álvares Cabral",""
"-1.0392080000000000000000000","-46.7728761000000000000000000","Bragança",""
"-5.5200809999999990000000000","-47.4880536000000000000000000","Imperatriz",""
